model_run,model_id,thinking,group,puzzle,format,language,repetition,correct
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,ntc,n/a,1,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,ntc,n/a,2,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,ntc,n/a,3,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,ntc,n/a,4,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,ntc,n/a,5,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_en,en,1,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_en,en,2,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_en,en,3,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_en,en,4,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_en,en,5,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_pt,pt,1,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_pt,pt,2,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_pt,pt,3,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_pt,pt,4,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,md_pt,pt,5,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_en,en,1,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_en,en,2,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_en,en,3,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_en,en,4,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_en,en,5,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_pt,pt,1,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_pt,pt,2,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_pt,pt,3,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_pt,pt,4,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,yaml_pt,pt,5,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,xml_en,en,1,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,xml_en,en,2,0
Gemini 2.5 Flash-Lite · Direct API,gemini-2.5-flash-lite,off,GRID,p0,xml_en,en,3,0
